country,threshold,area_Mha,region,subregion,FAO_2000_Mha,deviation_Mha,deviation_%
Indonesia,40.0,157.33993899512515,Asia and the Pacific,Southeast Asia,91.959,65.38093899512515,0.7731480657914634
Indonesia,50.0,153.6425946997117,Asia and the Pacific,Southeast Asia,91.959,61.683594699711705,0.7294259254475147
Iran,10.0,2.015430066780856,Near East,West Asia,10.751,-8.735569933219143,7.557767387909633
Iran,20.0,1.8712635605830736,Near East,West Asia,10.751,-8.879736439416925,7.682496160880368
Iran,30.0,1.7457020702110746,Near East,West Asia,10.751,-9.005297929788926,7.791128401749068
Iran,40.0,1.674045944880085,Near East,West Asia,10.751,-9.076954055119915,7.853123249401893
Iran,50.0,1.5491336690221604,Near East,West Asia,10.751,-9.20186633097784,7.9611938082830696
Iraq,10.0,0.0384536335424743,Near East,West Asia,0.818,-0.7795463664575256,116.50252665537715
Iraq,20.0,0.0270832717309953,Near East,West Asia,0.818,-0.7909167282690046,118.20181734162945
Iraq,30.0,0.0171912572155204,Near East,West Asia,0.818,-0.8008087427844796,119.68017030990963
Iraq,40.0,0.0148511695911941,Near East,West Asia,0.818,-0.8031488304088058,120.0298943706706
Iraq,50.0,0.0064584160801257,Near East,West Asia,0.818,-0.8115415839198743,121.28418408544222
Ireland,10.0,1.101944458189959,Europe,Western Europe,0.63,0.4719444581899589,118.90764882589038
Ireland,20.0,0.9360040852159917,Europe,Western Europe,0.63,0.30600408521599165,77.09853494985933
Ireland,30.0,0.8369722356845031,Europe,Western Europe,0.63,0.20697223568450307,52.14719971894761
Ireland,40.0,0.7557556183864985,Europe,Western Europe,0.63,0.1257556183864985,31.68445915507647
Ireland,50.0,0.6366526489579291,Europe,Western Europe,0.63,0.006652648957929053,1.6761524207430216
Israel,10.0,0.04806924267715974,Near East,South/East Mediterranean,0.153,-0.10493075732284025,448.24963613499193
Israel,20.0,0.03880617650496506,Near East,South/East Mediterranean,0.153,-0.11419382349503493,487.82016957168156
Israel,30.0,0.028112184963842008,Near East,South/East Mediterranean,0.153,-0.12488781503615799,533.503417643462
Israel,40.0,0.023570882375292774,Near East,South/East Mediterranean,0.153,-0.1294291176247072,552.9032321957675
Israel,50.0,0.017030014621842542,Near East,South/East Mediterranean,0.153,-0.13596998537815747,580.8449116927569
Italy,10.0,10.499592767835924,Europe,Western Europe,8.369,2.1305927678359247,3.0419586954346447
Italy,20.0,10.015451928526833,Europe,Western Europe,8.369,1.646451928526833,2.3507255052238287
Italy,30.0,9.318723599006246,Europe,Western Europe,8.369,0.949723599006246,1.355970039826502
Italy,40.0,8.898341711967804,Europe,Western Europe,8.369,0.5293417119678043,0.7557688394916803
Italy,50.0,8.378825068263737,Europe,Western Europe,8.369,0.00982506826373708,0.014027763676524217
Jamaica,10.0,0.808763727604931,Americas,Caribbean,0.521,0.28776372760493096,106.01336113738564
Jamaica,20.0,0.785521624423632,Americas,Caribbean,0.521,0.26452162442363203,97.45087308978084
Jamaica,30.0,0.7691417402987553,Americas,Caribbean,0.521,0.24814174029875524,91.41645525132725
Jamaica,40.0,0.7542063734905129,Americas,Caribbean,0.521,0.23320637349051287,85.91420363560142
Jamaica,50.0,0.7303860534056252,Americas,Caribbean,0.521,0.20938605340562522,77.1386980616875
Japan,10.0,27.57113739558299,Asia and the Pacific,East Asia,24.876,2.6951373955829894,0.4355317434101684
Japan,20.0,27.069841928320752,Asia and the Pacific,East Asia,24.876,2.193841928320751,0.35452285340769407
Japan,30.0,26.65229482502317,Asia and the Pacific,East Asia,24.876,1.776294825023168,0.28704762258899785
Japan,40.0,26.372155027171477,Asia and the Pacific,East Asia,24.876,1.4961550271714756,0.24177728692563633
Japan,50.0,25.83932918675791,Asia and the Pacific,East Asia,24.876,0.9633291867579103,0.15567311739808973
