country,threshold,area_Mha,region,subregion,FAO_2000_Mha,deviation_Mha,deviation_%,GLC_Mha,deviation_GLC_Mha,deviation_GLC_%
Argentina,20,41.64014311864562,Americas,South America,53.442,-11.801856881354382,22.0834865486965,56.41084933364992,-14.770706215004303,26.184158525323518
Argentina,30,39.19875243953757,Americas,South America,53.442,-14.243247560462429,26.651786161562868,56.41084933364992,-17.21209689411235,30.51203287564237
Argentina,40,35.534607184966134,Americas,South America,53.442,-17.907392815033866,33.50808879726407,56.41084933364992,-20.876242148683787,37.00749482640885
Argentina,50,23.15532289191849,Americas,South America,53.442,-30.28667710808151,56.67205027521708,56.41084933364992,-33.25552644173143,58.95235904894276
Armenia,10,0.3904352705894211,Europe,Eastern Europe,0.333,0.057435270589421106,17.247829005832163,0.5543854257235744,-0.16395015513415329,29.57331623935971
Armenia,20,0.3647241879021072,Europe,Eastern Europe,0.333,0.03172418790210718,9.526783153785939,0.5543854257235744,-0.1896612378214672,34.21107933599167
Armenia,30,0.3417155587470388,Europe,Eastern Europe,0.333,0.008715558747038776,2.6172849090206536,0.5543854257235744,-0.21266986697653562,38.36137407453714
Armenia,40,0.3284367400224365,Europe,Eastern Europe,0.333,-0.004563259977563516,1.3703483416106654,0.5543854257235744,-0.2259486857011379,40.75660636392696
Armenia,50,0.2993558534942673,Europe,Eastern Europe,0.333,-0.03364414650573272,10.103347299018834,0.5543854257235744,-0.2550295722293071,46.00221441543974
Australia,10,70.19580338522775,Asia and the Pacific,Pacific Region,132.907,-62.71119661477226,47.184269161723805,94.1029359112374,-23.907132526009647,25.405299308153417
Australia,20,51.07825048409508,Asia and the Pacific,Pacific Region,132.907,-81.82874951590493,61.568427182845845,94.1029359112374,-43.024685427142316,45.72087471077986
Australia,30,42.12558022496415,Asia and the Pacific,Pacific Region,132.907,-90.78141977503586,68.3044683688864,94.1029359112374,-51.97735568627324,55.23457390883202
Australia,40,35.93177980053465,Asia and the Pacific,Pacific Region,132.907,-96.97522019946535,72.96471984129154,94.1029359112374,-58.171156110702746,61.81651565640066
Australia,50,25.65873774899396,Asia and the Pacific,Pacific Region,132.907,-107.24826225100605,80.69421644533851,94.1029359112374,-68.44419816224344,72.7333291989991
Austria,10,4.525449977725106,Europe,Western Europe,3.838,0.6874499777251062,17.91167216584435,4.864817696062146,-0.3393677183370398,6.975959625614397
Austria,20,4.430324522332322,Europe,Western Europe,3.838,0.5923245223323219,15.433155871087074,4.864817696062146,-0.4344931737298241,8.93133516763695
Austria,30,4.344282316643867,Europe,Western Europe,3.838,0.5062823166438672,13.19130580103875,4.864817696062146,-0.5205353794182788,10.699997655402978
Austria,40,4.271447695059162,Europe,Western Europe,3.838,0.43344769505916236,11.293582466366919,4.864817696062146,-0.5933700010029836,12.197168282036351
Austria,50,4.11989201672049,Europe,Western Europe,3.838,0.2818920167204899,7.344763332998696,4.864817696062146,-0.7449256793416561,15.312509653643144
Azerbaijan,10,1.4998208538670126,Near East,Central Asia,0.987,0.5128208538670126,51.95753331985943,1.5433490595107855,-0.04352820564377291,2.820373354655789
Azerbaijan,20,1.402747691510975,Near East,Central Asia,0.987,0.4157476915109749,42.12235982887284,1.5433490595107855,-0.1406013679998106,9.110146997101145
Azerbaijan,30,1.2725051151428797,Near East,Central Asia,0.987,0.2855051151428797,28.926556752064812,1.5433490595107855,-0.2708439443679058,17.549104831395603
Azerbaijan,40,1.1978371259967553,Near East,Central Asia,0.987,0.2108371259967553,21.361410941920496,1.5433490595107855,-0.3455119335140302,22.387154181669793
Azerbaijan,50,1.1129157253139648,Near East,Central Asia,0.987,0.12591572531396478,12.757418978111934,1.5433490595107855,-0.4304333341968207,27.889564680413937
"Bahamas, The",10,0.3413132335837751,Americas,Caribbean,0.51,-0.16868676641622493,33.07583655220097,0.3788776918564364,-0.037564458272661305,9.914666152182736
"Bahamas, The",20,0.3137929844240349,Americas,Caribbean,0.51,-0.1962070155759651,38.47196383842453,0.3788776918564364,-0.06508470743240147,17.17828967799541
"Bahamas, The",30,0.2914922644171906,Americas,Caribbean,0.51,-0.2185077355828094,42.844654035844975,0.3788776918564364,-0.08738542743924577,23.06428415224766
"Bahamas, The",40,0.2677811865204678,Americas,Caribbean,0.51,-0.24221881347953222,47.493884995986704,0.3788776918564364,-0.1110965053359686,29.322524847428884
