country,threshold,area_Mha,region,subregion,FAO_2000_Mha,deviation_Mha,deviation_%,bin,estimation
Mozambique,30,28.8839322030705,Africa,Southern Africa,38.919,-10.035067796929496,25.784495482744923,High (> 37 Mha),mixed
Mozambique,40,21.542413351373064,Africa,Southern Africa,38.919,-17.376586648626933,44.64808101088655,High (> 37 Mha),mixed
Mozambique,50,10.481227041035757,Africa,Southern Africa,38.919,-28.43777295896424,73.0691255144383,High (> 37 Mha),mixed
Namibia,10,1.7716330948045822,Africa,Southern Africa,8.059,-6.287366905195417,78.01671305615359,Medium (4-37 Mha),overestimated
Namibia,20,0.0464852626446249,Africa,Southern Africa,8.059,-8.012514737355374,99.42318820393815,Medium (4-37 Mha),overestimated
Namibia,30,0.0039770493595268,Africa,Southern Africa,8.059,-8.055022950640472,99.95065083311171,Medium (4-37 Mha),overestimated
Namibia,40,0.0016184679406882,Africa,Southern Africa,8.059,-8.057381532059312,99.97991726094196,Medium (4-37 Mha),overestimated
Namibia,50,0.0005926744610568414,Africa,Southern Africa,8.059,-8.058407325538942,99.99264580641449,Medium (4-37 Mha),overestimated
Nauru,10,0.0,Asia and the Pacific,Pacific Region,0.0,0.0,,,mixed
Nauru,20,0.0,Asia and the Pacific,Pacific Region,0.0,0.0,,,mixed
Nauru,30,0.0,Asia and the Pacific,Pacific Region,0.0,0.0,,,mixed
Nauru,40,0.0,Asia and the Pacific,Pacific Region,0.0,0.0,,,mixed
Nauru,50,0.0,Asia and the Pacific,Pacific Region,0.0,0.0,,,mixed
Nepal,10,5.608065431320919,Asia and the Pacific,South Asia,5.916,-0.3079345686790811,5.205114413101438,Medium (4-37 Mha),overestimated
Nepal,20,5.392389898701853,Asia and the Pacific,South Asia,5.916,-0.5236101012981473,8.850745458048467,Medium (4-37 Mha),overestimated
Nepal,30,5.167045193880624,Asia and the Pacific,South Asia,5.916,-0.748954806119376,12.659817547656797,Medium (4-37 Mha),overestimated
Nepal,40,4.905753143097863,Asia and the Pacific,South Asia,5.916,-1.0102468569021372,17.07651887934647,Medium (4-37 Mha),overestimated
Nepal,50,4.310678033047618,Asia and the Pacific,South Asia,5.916,-1.6053219669523822,27.135259752406725,Medium (4-37 Mha),overestimated
Netherlands,10,0.7553053488564366,Europe,Western Europe,0.36,0.39530534885643664,109.80704134901018,Low (< 4 Mha),underestimated
Netherlands,20,0.6653313614364279,Europe,Western Europe,0.36,0.3053313614364279,84.81426706567441,Low (< 4 Mha),underestimated
Netherlands,30,0.5952216389441239,Europe,Western Europe,0.36,0.23522163894412396,65.33934415114555,Low (< 4 Mha),underestimated
Netherlands,40,0.5501830620890904,Europe,Western Europe,0.36,0.19018306208909042,52.82862835808068,Low (< 4 Mha),underestimated
