country,threshold,area
Netherlands,30,0.5952216389441239
Belgium,30,0.8662559293441338
United Kingdom,30,3.681917148031123
Ireland,30,0.8369722356845765
Iceland,30,0.0
Russia,30,209.87930235946658
Russia,30,147.09581765568313
Mongolia,30,4.0799154133639455
Russia,30,99.38301718004078
Russia,30,124.47988682739391
Maldives,30,0.0009976447459335031
Bhutan,30,2.575941242034351
Afghanistan,30,0.23963669536834195
Pakistan,30,1.0352801844415207
Nepal,30,5.167045193880656
Sri Lanka,30,3.9400872818239145
India,30,38.86934601698504
Bangladesh,30,1.9291116962552375
Palau,30,0.03887726428001166
Nauru,30,0.0
Tuvalu,30,0.0
Cook Is,30,0.0
Tonga,30,0.0
Niue,30,0.0
Samoa,30,0.0
Marshall Is,30,0.0
Kiribati,30,0.0
Fed States of Micronesia,30,0.0037332453725715245
Papua New Guinea,30,42.57185407723277
Solomon Is,30,2.5577741357414223
New Zealand,30,11.122894083855412
Fiji,30,1.5406702383927637
Vanuatu,30,1.051089740420589
Indonesia,30,159.16298163850078
Singapore,30,0.01823509082979646
Brunei,30,0.5365885974656077
Philippines,30,18.184254761227848
Timor-Leste,30,0.7261144457458352
Malaysia,30,29.278572297399606
Thailand,30,19.967174782625985
Burma,30,42.66772441720727
Laos,30,19.126751591951894
Cambodia,30,8.811921866907646
Vietnam,30,16.533178495290148
Oman,30,6.540773010253906e-07
United Arab Emirates,30,0.0
Qatar,30,0.0
Bahrain,30,0.0
Iran,30,1.745702070211044
Kuwait,30,0.0
Azerbaijan,30,1.2725051151428126
Armenia,30,0.34171555874703885
Georgia,30,3.1482027504962375
Turkey,30,10.06397510686462
Cyprus,30,0.10199606980235179
Israel,30,0.028111204027544395
Jordan,30,0.0023137956205726254
Saudi Arabia,30,6.904660882568359e-06
West Bank,30,0.00038800486739006587
West Bank,30,0.0
Iraq,30,0.01719125721552042
Syria,30,0.10755966808078501
Lebanon,30,0.06626381456486212
Syria,30,3.7426621804294933e-05
Syria,30,0.001795044519910229
Israel,30,9.80936297607422e-07
Syria,30,8.29301906044157e-05
Syria,30,0.0
Yemen,30,0.00012467246355590814
Australia,30,42.12558022496096
Cuba,30,3.988808167404557
Antigua & Barbuda,30,0.019198171229326516
St Kitts & Nevis,30,0.01313930166469573
Dominica,30,0.06746513234368562
Trinidad & Tobago,30,0.38784497876400015
Grenada,30,0.02761965255616218
Saint Lucia,30,0.050485655074971617
St Vincent & the Grenadines,30,0.02713088398694566
Barbados,30,0.005295561391826057
Dominican Republic,30,2.589297611073068
Haiti,30,0.8594662944964382
Jamaica,30,0.7691417402987553
Cuba,30,0.0001493524676991178
Turkmenistan,30,0.010895812013808832
Kyrgyzstan,30,0.6812759040662644
Kazakhstan,30,4.227921478101715
Tajikistan,30,0.061471246810156824
Uzbekistan,30,0.10942282419140667
Mauritius,30,0.07075245846246922
Seychelles,30,0.005391935275520601
Mexico,30,53.57507147564706
United States,30,112.25031997614012
"Bahamas, The",30,0.2914922644171906
Canada,30,165.78044236942233
Canada,30,0.024416133377466284
United States,30,59.909817798283036
Canada,30,129.42022369927565
Canada,30,19.189573835060774
Canada,30,0.0
Canada,30,0.0
Canada,30,45.258965331306584
Canada,30,58.03083558239612
United States,30,41.96184488495503
United States,30,15.188236067392927
Bolivia,30,64.56653764980655
Chile,30,17.817709417436202
Paraguay,30,24.41963245671634
Argentina,30,39.198752439538296
Uruguay,30,1.6979124540030783
Ecuador,30,19.027259726914494
Venezuela,30,56.593945587727575
Suriname,30,13.874381428182746
Guyana,30,19.078828022488995
Colombia,30,81.78381692766042
Peru,30,78.0979594286316
Brazil,30,519.4125962040032
El Salvador,30,1.003032503028816
Guatemala,30,7.692366573226797
Panama,30,5.671072435175997
Costa Rica,30,3.9126325205856713
Nicaragua,30,7.80427902384658
Honduras,30,7.732540993537977
Belize,30,1.7553250558444484
Chad,40,0.12198820534562425
Malawi,40,0.9142276419174771
Zambia,40,17.75022435691328
Zimbabwe,40,0.7637492518944929
Botswana,40,0.00812210890194602
Namibia,40,0.0016184679406882133
Angola,40,46.64943571426964
Burundi,40,0.3175510539792622
Rwanda,40,0.3362036016913154
South Africa,40,4.880481594562018
Lesotho,40,0.0029435223733577697
Swaziland,40,0.35532441485159266
Niger,40,7.844035888671875e-07
Sudan,40,0.009299789319450072
Libya,40,0.006145502985822728
Tunisia,40,0.21043371133725303
Egypt,40,0.07461566541381287
Eritrea,40,2.5932994018554686e-06
Ethiopia,40,8.967809187572092
Djibouti,40,8.74137451171875e-08
Somalia,40,0.06473449097713158
Kenya,40,2.7585462896067248
Uganda,40,5.732929078026717
Tanzania,40,19.5065037763575
Mozambique,40,21.54241335137039
Comoros,40,0.12717550027796046
Madagascar,40,15.501987264851195
Cabo Verde,40,0.007112999337107577
Mauritania,40,3.160563289184577e-05
Morocco,40,0.5911391165653688
Algeria,40,1.1304150692137136
Mali,40,0.007635905930959487
Burkina Faso,40,2.9292540338134777e-05
Togo,40,0.3536883865595586
Ghana,40,6.176927153910267
Cote d'Ivoire,40,11.837578566932505
Guinea,40,5.190689637635939
Senegal,40,0.012604878135288194
"Gambia, The",40,0.000571059000236937
Guinea-Bissau,40,0.7295235099524016
Sierra Leone,40,4.987575436725461
Liberia,40,9.323314288135833
Benin,40,0.04673054232473187
Nigeria,40,7.739308862431428
Cameroon,40,28.810345756347616
Equatorial Guinea,40,2.6438475105527894
Sao Tome & Principe,40,0.013862455120267554
Gabon,40,24.36545746143841
Rep of the Congo,40,25.227350839337902
Central African Rep,40,41.81942288129264
Dem Rep of the Congo,40,186.19484299420816
Japan,40,26.372155027168695
"Korea, South",40,5.088252410963081
"Korea, North",40,4.842104529394592
China,40,37.463992227174856
China,40,1.3507792313377471
China,40,30.34448732353714
China,40,82.9389691420922
Russia,40,92.06379128549392
Ukraine,40,10.519004957386734
Romania,40,7.705034877088747
Moldova,40,0.33383038310563795
Russia,40,83.85264845570194
Finland,40,20.5236499693881
Norway,40,10.785074527078432
Andorra,40,0.01838984938034969
Italy,40,8.898341711967648
Monaco,40,2.6005205078125e-07
Malta,40,9.670996842625027e-05
San Marino,40,0.0007211147655925167
Croatia,40,2.313617699153233
Albania,40,0.5934204441448809
Bosnia & Herzegovina,40,2.59554240571961
Montenegro,40,0.6098933212674394
Serbia,40,2.596127437921516
Greece,40,3.326347602190076
Macedonia,40,0.7637338010704313
Bulgaria,40,3.95865900495022
Portugal,40,2.0256219736892547
Spain,40,10.040500179290486
France,40,16.247884778828922
Sweden,40,26.592511509326357
Denmark,40,0.6213305275131106
Estonia,40,2.5766920433484635
Latvia,40,3.4694625801554166
Lithuania,40,2.2798789260407393
Belarus,40,8.92319902221401
Poland,40,10.182379220873647
Germany,40,12.252907088039407
Czechia,40,3.0231662832747275
Slovakia,40,2.355865944496379
Hungary,40,1.9131638085272318
Slovenia,40,1.2959097674617523
Austria,40,4.271447695059175
Switzerland,40,1.514329021003819
Liechtenstein,40,0.008590583222902059
Luxembourg,40,0.10068481455171711
Netherlands,40,0.5501830620894383
Belgium,40,0.8343529540926293
United Kingdom,40,3.388735431987732
Ireland,40,0.7557556183865534
Iceland,40,0.0
Russia,40,199.03560843046142
Russia,40,129.32602981763728
Mongolia,40,3.3807759275585436
Russia,40,82.50845725276596
Russia,40,116.63681975006867
