country,51 Open evergreen broadleaved,52 Closed evergreen broadleaved,61 Open deciduous broadleaved,62 Closed deciduous broadleaved,71 Open evergreen needleleaved,72 Closed evergreen needleleaved,81 Open deciduous needleleaved,82 Closed deciduous needleleaved,91 Open mixed forest,92 Closed mixed forest
Sao Tome & Principe,5.362041335388312e-07,0.0916425737681025,1.877293215102327e-06,4.469820993335816e-07,0.0,0.0,0.0,0.0,1.52025080524254e-06,0.0
Gabon,0.1095261414533741,23.463124810151783,0.0467165456464352,0.5450312415630195,6.620487149140952e-05,2.4030099041283396e-05,0.0010672251082652,0.0,0.0028442974070747,0.0
Rep of the Congo,0.0317142858439847,19.354087376318702,0.053815020955361,5.504335501834527,0.00048702712347135294,0.00036285739903419486,0.0026639800890243,0.0,0.0112972288649528,0.0
Central African Rep,0.0652886809407806,9.561967629253049,0.0322030530413654,46.58450047638543,0.0002639784958606351,1.7392252813408506e-05,0.0012310685962436,0.0,0.0705853394767128,0.0
Dem Rep of the Congo,0.6226207460956592,119.12694209623967,0.1976764028145463,83.388572314335,0.0140806948648118,0.0014374164571675,0.0193698442203404,0.0005041481652483526,0.1802505131352466,0.0
Japan,0.2812143175061598,0.2085986457032249,0.1726148347260144,16.769380511908864,0.0134325323298229,11.722675220494478,0.0261188008258945,0.0538442002504151,0.0067575061641024,0.0
"Korea, South",0.0438691431430071,0.00034469334525254577,0.0213182025899367,5.945320533409154,0.0080520477784165,0.6429341035255699,0.0001869835917009301,0.014944287661929,0.0004687538085255651,0.0
"Korea, North",0.0195336442645703,0.00016370345069794762,0.0073137070028939,7.391658262610264,0.004852520965031,0.5240697141964674,0.0234181126257014,0.565034505295932,0.0004633797840161176,0.0
China,0.1950417326478098,0.0112644927412725,0.0480082980620985,47.73666391645235,0.1067788098334638,3.010930242512125,0.9457367069126772,9.84717511769607,0.0046880909568815,0.0
China,0.0020209071851019,0.002706204496107,0.0426570138999239,0.3109587626170475,0.052880050519094,2.850877441667001,0.1007686734606364,2.0949676881502324,0.1746665502691029,0.0
China,0.107782380772201,7.801608379288901,0.2950862429840284,6.982963491473463,0.4044965328183656,34.621102957574365,0.0128693597944757,0.0038752703348732,0.1875714215603571,0.0
China,0.0279484762530143,80.17507034260629,0.0610568080116572,16.612853537938953,0.0034309793256829,14.417553955441669,8.570668590834885e-06,4.2948964221523056e-05,0.0034000464615518,0.0
Russia,1.6567491908610292,0.0030590491208079,0.6079199952690665,58.40958472566966,0.1368784874928851,17.638629231959484,20.396965393717384,0.1773754951973307,0.2249633574179855,0.00021618295875694903
Ukraine,0.6674648153921723,0.0006297938911928873,0.236565828033823,6.504312483103417,0.0351259522769965,3.9164609775729433,0.5241534622439541,0.0073942510660879,0.0450541979640949,0.0
Romania,0.315789500798457,6.309442689200751e-06,0.1421875532607474,6.4246843783663055,0.0165930272563594,1.5302409608373366,0.652495362363655,0.0054577205990068,0.0198266917701459,0.0
Moldova,0.0364934517907658,1.1684021004043643e-06,0.0035312621802945,0.3033922000545425,0.0007794421418539873,0.015406156779106,0.0006583649469661169,0.00011444132048390932,0.0036239841737464,0.0
Russia,0.5754926124407871,6.533258327122028e-05,0.4495663127734,15.993018452305176,0.0101090738993828,56.74048996615136,15.882545212096248,0.106206751799627,0.2547888436295653,2.0994197963075685
Finland,0.1897997562815996,4.229348001771882e-05,0.3657112795130795,3.449945990058712,0.008570374138225,15.956266059053862,4.770592896790963,0.1302797987602741,0.1443924904561494,0.0
Norway,0.0786959402377278,0.00035476910190348967,0.1305073850781645,6.718104848533737,0.006863327142004,8.103363133158306,1.3709144835735392,0.0365780488180972,0.022300936620814,0.0
Andorra,0.000142470785663576,1.2947933282619569e-05,0.0004512831707839439,0.0014097275945145,0.0012651102681471,0.0225042978554531,0.00013506643470424473,1.570217013124875e-05,0.0016374729979282,0.0
Italy,0.2251188984657411,0.0052193429411741,0.1774400177132001,7.217029104797343,0.1191457696468295,2.575126421033449,0.3956058894049134,0.0054004149747672,0.1764059972842062,0.0
Monaco,5.850475375268616e-07,0.0,1.441369115732815e-06,0.0,5.111723889488565e-07,7.028148229131139e-06,1.300063985354427e-07,0.0,0.0,0.0
Malta,3.626673160999203e-07,7.272486612919239e-08,1.5912804522432612e-06,1.454884070994922e-07,8.760640867830947e-06,4.383697824531888e-06,7.278447355929529e-08,0.0,4.218318039761471e-06,0.0
San Marino,4.780357177528079e-05,3.4116596492371992e-06,1.2527086637285667e-05,0.0010727692062358,6.350178161085296e-06,0.000115458973693798,1.1115105287840423e-05,1.9514868679446888e-07,2.9379399157475665e-05,0.0
