country,threshold,area_Mha
Kyrgyzstan,40,0.5933251484220274
Kyrgyzstan,50,0.4326953556910872
Laos,10,19.807031370234675
Laos,20,19.470140973974924
Laos,30,19.126751591955927
Laos,40,18.82223658151496
Laos,50,18.126165657681582
Latvia,10,3.720049751880107
Latvia,20,3.627104463920186
Latvia,30,3.5456802267561214
Latvia,40,3.4694625801556787
Latvia,50,3.312139038835497
Lebanon,10,0.0956546025961445
Lebanon,20,0.0801812802650314
Lebanon,30,0.0662638145648621
Lebanon,40,0.0583413123741605
Lebanon,50,0.0439015206788021
Lesotho,10,0.1281770850896124
Lesotho,20,0.0244649928624975
Lesotho,30,0.0060602720694615
Lesotho,40,0.0029435223733577
Lesotho,50,0.0005246704379527854
Liberia,10,9.547654829109607
Liberia,20,9.48326957183381
Liberia,30,9.38987557094609
Liberia,40,9.323314288135824
Liberia,50,9.063157567201412
Libya,10,0.0247806569933264
Libya,20,0.0142334743966164
Libya,30,0.00685437155154
Libya,40,0.0061455029858227
Libya,50,0.0018028433175052
Liechtenstein,10,0.0097742665883409
Liechtenstein,20,0.0092579795739297
Liechtenstein,30,0.0088886188786013
Liechtenstein,40,0.008590583222902
Liechtenstein,50,0.0080013368503726
Lithuania,10,2.442140824195169
Lithuania,20,2.383554502012489
Lithuania,30,2.3284444453699606
Lithuania,40,2.2798789260407406
Lithuania,50,2.17064518047754
Luxembourg,10,0.1072379907351328
Luxembourg,20,0.104574303579388
Luxembourg,30,0.1022798747075584
Luxembourg,40,0.1006848145517171
Luxembourg,50,0.0975535714877484
Macedonia,10,0.9475044971678552
Macedonia,20,0.8746583440584083
Macedonia,30,0.8128658797035831
Macedonia,40,0.7637338010716829
Macedonia,50,0.7221120459813051
Madagascar,10,33.35610909300728
Madagascar,20,21.69617725223687
Madagascar,30,17.113527398913405
Madagascar,40,15.50198726485081
Madagascar,50,12.228114271107843
Malawi,10,7.149531437650368
Malawi,20,3.175120908433479
Malawi,30,1.5205249135054688
Malawi,40,0.9142276419174832
Malawi,50,0.3132421080180037
Malaysia,10,29.62618412266829
Malaysia,20,29.45424016165576
Malaysia,30,29.278572297399656
Malaysia,40,29.133126543297493
Malaysia,50,28.82277933539098
Maldives,10,0.001045477490627
Maldives,20,0.0010194564857931
Maldives,30,0.0009976447459335031
Maldives,40,0.0009731411806588688
Maldives,50,0.0008546814640984498
Mali,10,8.406427654629606
Mali,20,0.3269671934697198
Mali,30,0.0262576863757151
Mali,40,0.0076359059309594
Mali,50,0.000387485105947409
Malta,10,0.0001648715117690145
Malta,20,0.00013512862124432748
Malta,30,0.00010778798187669944
Malta,40,9.670996842625028e-05
Malta,50,7.84743053166408e-05
Marshall Is,10,0.0
Marshall Is,20,0.0
Marshall Is,30,0.0
Marshall Is,40,0.0
Marshall Is,50,0.0
Mauritania,10,6.502349122867359e-05
Mauritania,20,3.922913738403317e-05
Mauritania,30,3.3233370434570366e-05
Mauritania,40,3.160563289184577e-05
Mauritania,50,1.5590537164306655e-05
Mauritius,10,0.1483663027360154
Mauritius,20,0.1113851022159351
Mauritius,30,0.0707524584624692
Mauritius,40,0.062983202522243
Mauritius,50,0.0505774442293272
Mexico,10,64.01881448003545
Mexico,20,58.29852276623982
Mexico,30,53.57507147564943
Mexico,40,49.25962782683796
Mexico,50,42.33920822920575
Moldova,10,0.4517069585082872
Moldova,20,0.4041510567475589
Moldova,30,0.3577647259747201
Moldova,40,0.3338303831056318
Moldova,50,0.3166358388779686
Monaco,10,2.444715686513864e-06
Monaco,20,1.364498686738855e-06
Monaco,30,4.550902282714844e-07
Monaco,40,2.6005205078125e-07
Monaco,50,6.50130126953125e-08
Mongolia,10,6.189697570230051
Mongolia,20,4.882968495700333
Mongolia,30,4.079915413363054
Mongolia,40,3.380775927557292
Mongolia,50,1.8545467182621795
Montenegro,10,0.7208381842081095
Montenegro,20,0.6820615488855232
Montenegro,30,0.6429577115991434
Montenegro,40,0.6098933212660117
Montenegro,50,0.5727948011197137
Morocco,10,1.1332436673503987
Morocco,20,0.847245037284987
Morocco,30,0.6819317180626135
Morocco,40,0.5911391165653687
Morocco,50,0.4405421561842217
Mozambique,10,71.04642130938718
Mozambique,20,46.92151543415912
Mozambique,30,28.8839322030705
Mozambique,40,21.542413351373064
Mozambique,50,10.481227041035757
Namibia,10,1.7716330948045822
Namibia,20,0.0464852626446249
Namibia,30,0.0039770493595268
Namibia,40,0.0016184679406882
Namibia,50,0.0005926744610568414
Nauru,10,0.0
Nauru,20,0.0
Nauru,30,0.0
Nauru,40,0.0
Nauru,50,0.0
Nepal,10,5.608065431320919
Nepal,20,5.392389898701853
Nepal,30,5.167045193880624
Nepal,40,4.905753143097863
Nepal,50,4.310678033047618
Netherlands,10,0.7553053488564366
Netherlands,20,0.6653313614364279
Netherlands,30,0.5952216389441239
Netherlands,40,0.5501830620890904
Netherlands,50,0.4744343802672371
New Zealand,10,11.445539807350624
New Zealand,20,11.303871448610868
New Zealand,30,11.122894083855543
New Zealand,40,10.983776449543024
New Zealand,50,10.66728296813579
Nicaragua,10,8.419757268755877
Nicaragua,20,8.078703315620004
Nicaragua,30,7.804279023846602
Nicaragua,40,7.551824875187301
Nicaragua,50,7.086142764031934
Niger,10,0.0269232094943816
Niger,20,3.146268173777861e-05
Niger,30,2.356456616210937e-06
Niger,40,7.844035888671875e-07
Niger,50,4.361968994140625e-07
Nigeria,10,43.11641262781386
Nigeria,20,17.29398085405508
Nigeria,30,10.045836309822676
Nigeria,40,7.73930886243143
Nigeria,50,4.734884305155431
Niue,10,0.0
Niue,20,0.0
Niue,30,0.0
Niue,40,0.0
Niue,50,0.0
Norway,10,12.429635654319664
Norway,20,11.82030180859039
Norway,30,11.388072001433985
Norway,40,10.785074527076246
Norway,50,9.53657939611436
Oman,10,0.0014156923558715
Oman,20,5.463203297119142e-05
Oman,30,6.540773010253906e-07
Oman,40,3.3236721801757813e-07
Oman,50,2.519106811523437e-07
Pakistan,10,1.6572610025081445
Pakistan,20,1.265000708982306
Pakistan,30,1.0352801844415211
Pakistan,40,0.8896713736046156
Pakistan,50,0.6801163391421728
Palau,10,0.0397758167657621
Palau,20,0.0393266650047536
Palau,30,0.0388772642800116
Palau,40,0.0385173575478416
Palau,50,0.0377585472106553
Panama,10,5.906547502039708
Panama,20,5.776113003268176
Panama,30,5.671072435175997
Panama,40,5.575151789006529
Panama,50,5.424070896532455
Papua New Guinea,10,43.34108665312365
Papua New Guinea,20,42.95173351312185
Papua New Guinea,30,42.57185407723021
Papua New Guinea,40,42.27335932445569
Papua New Guinea,50,41.63107024314008
Paraguay,10,27.029194725597808
Paraguay,20,26.0038421948708
Paraguay,30,24.41963245671465
Paraguay,40,22.35155847503726
Paraguay,50,14.081018384647168
Peru,10,79.07564383357978
Peru,20,78.54233108379154
Peru,30,78.09795942863168
